QueryIndex;R-Precision
0.0;0.08823529411764706
1.0;0.2857142857142857
2.0;0.16279069767441862
3.0;0.0
4.0;0.22137404580152673
5.0;0.25
6.0;0.14285714285714285
7.0;0.09090909090909091
8.0;0.2
9.0;0.16
10.0;0.45454545454545453
11.0;0.0
12.0;0.20833333333333334
13.0;0.21818181818181817
14.0;0.1346153846153846
15.0;0.24444444444444444
16.0;0.14545454545454545
17.0;0.23809523809523808
18.0;0.09090909090909091
19.0;0.45652173913043476
20.0;0.12
21.0;0.2857142857142857
22.0;0.14285714285714285
23.0;0.06451612903225806
24.0;0.21568627450980393
25.0;0.21212121212121213
26.0;0.18181818181818182
27.0;0.1568627450980392
28.0;0.20454545454545456
29.0;0.11764705882352941
30.0;0.22413793103448276
31.0;0.03333333333333333
32.0;0.5087719298245614
33.0;0.358974358974359
34.0;0.35714285714285715
35.0;0.2222222222222222
36.0;0.4489795918367347
37.0;0.16981132075471697
38.0;0.345679012345679
39.0;0.2191780821917808
40.0;0.3333333333333333
41.0;0.1702127659574468
42.0;0.42857142857142855
43.0;0.35714285714285715
44.0;0.1
45.0;0.2222222222222222
46.0;0.08333333333333333
47.0;0.2
48.0;0.2777777777777778
49.0;0.24
50.0;0.3941908713692946
51.0;0.0
52.0;0.21739130434782608
53.0;0.24193548387096775
54.0;0.0
55.0;0.15625
56.0;0.35294117647058826
57.0;0.35789473684210527
58.0;0.2482758620689655
59.0;0.029411764705882353
60.0;0.24285714285714285
61.0;0.22916666666666666
62.0;0.1794871794871795
63.0;0.18
64.0;0.1595744680851064
65.0;0.1111111111111111
66.0;0.14285714285714285
67.0;0.08888888888888889
68.0;0.06666666666666667
69.0;0.058823529411764705
70.0;0.3333333333333333
71.0;0.23076923076923078
72.0;0.2777777777777778
73.0;0.14285714285714285
74.0;0.2857142857142857
75.0;0.11764705882352941
76.0;0.08536585365853659
77.0;0.18181818181818182
78.0;0.16279069767441862
79.0;0.11764705882352941
80.0;0.17857142857142858
81.0;0.12903225806451613
82.0;0.25
83.0;0.25
84.0;0.16129032258064516
85.0;0.2127659574468085
86.0;0.10526315789473684
87.0;0.14285714285714285
88.0;0.29411764705882354
89.0;0.5
90.0;0.25
91.0;0.25984251968503935
92.0;0.16279069767441862
93.0;0.2222222222222222
94.0;0.16666666666666666
95.0;0.2727272727272727
96.0;0.0
97.0;0.2
98.0;0.09090909090909091
